symptoms_text,specialty
نفسي بيقف لما أشيل حاجة تقيلة,صدر
بحس رعشة في قلبي مع النفس العميق,صدر
نفسي بيتقطع لما أضحك على طول,صدر
بحس حرارة في صدري لما أفتح الشباك,صدر
نفسي بيرجع لما أطلع سلم,صدر
بحس إن الهوا م,صدر
نفسي بيختفي لما أرفع إيدي لفوق,صدر
بحس إن الهوى بيدخل تقيل كأنه حجر,صدر
نفسي بيتزنق لما أركب المترو,صدر
بحس رعشة في صدري لما أمد ضهري,صدر
نفسي بيرجع مع كل شهقة كبيرة,صدر
بحس وجع في ضلوعي لما أضحك بصوت عالي,صدر
نفسي بيتقل لما أقف قدام المروحة,صدر
بحس إني عايز أفتح زرار الهدوم عشان أتنفس,صدر
نفسي بيضيق لما أبلع أكل ناشف,صدر
بحس حرارة طالعة من صدري لما أخرج في الشمس,صدر
نفسي بيتلخبط لما أتحرك بسرعة,صدر
بحس بلسعة في جنبي لما أشهق,صدر
نفسي بيطلع بصعوبة لما أغير وضعي فجأة,صدر
بحس إني عايز أتنفس من بوقي طول الوقت,صدر
نفسي بيقف لما أسمع صوت عالي مفاجئ,صدر
بحس وجع في صدري لما أقرأ بصوت عالي,صدر
نفسي بيتعب لما أفتح الشباك فجأة,صدر
بحس إني مش قادر آخد نفسي كامل,صدر
نفسي بيطلع مع صوت زي تكتكة خفيفة,صدر
الدورة اتأخرت عن معادها ومفيش حمل.,نساء وتوليد
عندي نزيف جامد بين الدورات.,نساء وتوليد
الدورة بتيجي كل 10 أيام.,نساء وتوليد
دم الدورة لونه غامق ومش طبيعي.,نساء وتوليد
عندي ألم فظيع في البطن قبل الدورة.,نساء وتوليد
بحس بدوخة وقت الدورة.,نساء وتوليد
عندي صداع شديد مع أول يوم دورة.,نساء وتوليد
بحس بكتمة وقت الدورة.,نساء وتوليد
الدورة مدتها طويلة جدًا.,نساء وتوليد
كل دورة عندي مغص جامد جدًا.,نساء وتوليد
بنزف بعد العلاقة الزوجية.,نساء وتوليد
عندي وجع في جنب بطني الشمال.,نساء وتوليد
الرغبة الجنسية قلت بشكل كبير.,نساء وتوليد
مش بحس بأي رغبة من شهور.,نساء وتوليد
عندي إفرازات بيضا كتير.,نساء وتوليد
الإفرازات لونها أصفر وريحتها وحشة.,نساء وتوليد
بحس بحكة شديدة في المهبل.,نساء وتوليد
المهبل بينفخ بعد العلاقة.,نساء وتوليد
بحس بحرقان وأنا بتبول.,نساء وتوليد
كل شوية يجيني التهاب بعد العلاقة.,نساء وتوليد
حملت بس لسه بينزل دم.,نساء وتوليد
عندي مغص شديد وأنا حامل.,نساء وتوليد
الجنين لسه عالي ومش نازل في الحوض.,نساء وتوليد
بطني بتوجعني آخر الحمل بشكل جامد.,نساء وتوليد
عندي ورم صغير في الثدي.,نساء وتوليد
في إفرازات بتنزل من صدري وأنا مش برضع.,نساء وتوليد
لون الحلمة اتغير بعد الولادة.,نساء وتوليد
اللبن مش بينزل خالص بعد الولادة.,نساء وتوليد
اللبن بينزل حتى بعد الفطام.,نساء وتوليد
عندي وجع جامد في الثدي قبل الدورة.,نساء وتوليد
الثدي بينتفخ كل دورة.,نساء وتوليد
عندي كتلة في الثدي مش بتروح.,نساء وتوليد
عندي سخونية بعد الولادة.,نساء وتوليد
في إفرازات غريبة بعد العملية القيصرية.,نساء وتوليد
خياطة الولادة وجعاني جامد.,نساء وتوليد
في نزيف بعد الإجهاض مش بيقف.,نساء وتوليد
عندي حكة جلدية بعد الولادة.,نساء وتوليد
كل شوية تطلعلي حبوب في المنطقة الحساسة.,نساء وتوليد
في وجع قوي مع الجماع بعد الولادة.,نساء وتوليد
عندي خوف شديد من الحمل رغم إن عندي وسيلة.,نساء وتوليد
الدورة وقفت فجأة وأنا لسه صغيرة.,نساء وتوليد
عندي هبات سخنة طول اليوم.,نساء وتوليد
مزاجي بيتقلب مع الدورة بشكل كبير.,نساء وتوليد
كل شوية أتوتر وأعيط قبل الدورة.,نساء وتوليد
بحس بكسل شديد مع أول أيام الدورة.,نساء وتوليد
عندي دوخة وقت التبويض.,نساء وتوليد
بحس إن نفسي بيقطع وأنا حامل.,نساء وتوليد
حركة الجنين قليلة جدًا.,نساء وتوليد
في ميه بتنزل قبل معاد الولادة.,نساء وتوليد
بحس بألم في المفاصل بعد انقطاع الدورة.,نساء وتوليد
عندي تقل جامد في منطقة الحوض.,نساء وتوليد
بحس إني مخنوقة وقت الدورة.,نساء وتوليد
عندي نزيف بعد ما باخد أدوية هرمونات.,نساء وتوليد
عندي نزيف أول الحمل.,نساء وتوليد
بحس بمغص في الشهر السابع.,نساء وتوليد
كل شوية يجيلي شد في الرحم وأنا حامل.,نساء وتوليد
بطني شكلها كبر فجأة في الحمل.,نساء وتوليد
بحس بوجع في ضهري طول الحمل.,نساء وتوليد
عندي ورم في المبيض.,نساء وتوليد
اكتشفوا عندي كيس مية كبير على المبيض.,نساء وتوليد
بحس بوجع جامد في الجنب وقت التبويض.,نساء وتوليد
عندي شعر زيادة في وشي.,نساء وتوليد
شعر غامق ظهر في منطقة الدقن.,نساء وتوليد
عندي حب شباب زيادة مع الدورة.,نساء وتوليد
بطلعلي حبوب قبل الدورة بأسبوع.,نساء وتوليد
الدورة بقت غزيرة جدًا الفترة الأخيرة.,نساء وتوليد
بنزل قطع دم كبيرة وقت الدورة.,نساء وتوليد
الدورة طولها أكتر من 10 أيام.,نساء وتوليد
الدورة بتيجي مرة كل شهرين.,نساء وتوليد
عندي وجع في البطن بعد انتهاء الدورة.,نساء وتوليد
بحس إن الرحم ضاغط على المثانة.,نساء وتوليد
عندي مشكلة في الحمل بعد سنة جواز.,نساء وتوليد
حصل إجهاض أكتر من مرة.,نساء وتوليد
عندي إفرازات خضرا وسميكة.,نساء وتوليد
بحس بريحة وحشة في الإفرازات.,نساء وتوليد
المهبل بيورم مع الدورة.,نساء وتوليد
عندي جفاف شديد في المهبل.,نساء وتوليد
العلاقة مؤلمة جدًا ومش قادرة أكمل.,نساء وتوليد
في حكة عنيفة في المنطقة الحساسة.,نساء وتوليد
عندي إفرازات فيها دم بعد الجماع.,نساء وتوليد
جالي نزيف فجأة بعد سن اليأس.,نساء وتوليد
الثدي وجعني بعد انقطاع الدورة.,نساء وتوليد
في ورم ليفي كبير في الرحم.,نساء وتوليد
عندي تقل جامد تحت السرة.,نساء وتوليد
دايمًا بحس إني محتاجة أعمل حمام وأنا مش محتاجة.,نساء وتوليد
البول بيحرقني بعد العلاقة.,نساء وتوليد
في ريحة غريبة من البول بعد الدورة.,نساء وتوليد
عندي سخونية مع نزيف بعد الولادة.,نساء وتوليد
اللبن قليل جدًا بعد الولادة.,نساء وتوليد
في كتلة جامدة في صدر واحد.,نساء وتوليد
اللبن مش بينشف بعد الفطام.,نساء وتوليد
بطلع لبن مع إني مش حامل.,نساء وتوليد
عندي ألم في الثدي مع كل دورة.,نساء وتوليد
الحلمة نزل منها دم مرة واحدة.,نساء وتوليد
لون الحلمة غمق فجأة.,نساء وتوليد
بحس إن الحلمة وجعاها لو اتلمست.,نساء وتوليد
عندي تشقق في الحلمات بعد الولادة.,نساء وتوليد
اللبن ريحته غريبة جدًا.,نساء وتوليد
بحس إن الحلمة منملة.,نساء وتوليد
في ورم صغير تحت الحلمة.,نساء وتوليد
عندي بقع بنية حوالين المهبل.,نساء وتوليد
عندي انتفاخ في المهبل.,نساء وتوليد
بحس بشد جامد في عضلة المهبل.,نساء وتوليد
عندي ألم في المهبل وقت النوم.,نساء وتوليد
العلاقة وجعاك من جوا مش من بره.,نساء وتوليد
كل ما أتوتر بحس إن المهبل بيقفل.,نساء وتوليد
عندي توسع جامد في المهبل بعد الولادة.,نساء وتوليد
بحس بتهبيط في المنطقة السفلية.,نساء وتوليد
كل شوية عندي التهابات فطرية.,نساء وتوليد
الإفرازات لونها زي الجبن.,نساء وتوليد
الإفرازات بقت لونها رمادي.,نساء وتوليد
إفرازات مع ريحة سمك.,نساء وتوليد
الإفرازات فيها فقاعات.,نساء وتوليد
في إفرازات مع دم بعد العلاقة.,نساء وتوليد
بحس بحكة مستمرة.,نساء وتوليد
المنطقة الحساسة دايمًا ملتهبة.,نساء وتوليد
الجلد بيتسلخ بين الفخدين.,نساء وتوليد
في ورم دهني في الشفرين.,نساء وتوليد
عندي قرحة صغيرة في المهبل.,نساء وتوليد
في زوائد لحمية حوالين المهبل.,نساء وتوليد
بحس بحرارة في المهبل.,نساء وتوليد
عندي قرحة عنق الرحم.,نساء وتوليد
كل ما أتعصب بيجيلي ألم في الحوض.,نساء وتوليد
عندي ورم في جدار الرحم.,نساء وتوليد
الرحم مائل ناحية الشمال.,نساء وتوليد
اتقال لي إن عندي رحم ذو قرنين.,نساء وتوليد
حصللي نزيف بعد إزالة اللولب.,نساء وتوليد
في ألم شديد بعد تركيب اللولب.,نساء وتوليد
اللولب اتحرك من مكانه.,نساء وتوليد
في إفرازات كتير بعد إزالة اللولب.,نساء وتوليد
حصللي عدوى بعد تركيب وسيلة.,نساء وتوليد
بستخدم وسيلة ومع ذلك حصل حمل.,نساء وتوليد
الحمل جالي بعد ربط الأنابيب.,نساء وتوليد
حصللي حمل خارج الرحم.,نساء وتوليد
حصللي حمل عنقودي.,نساء وتوليد
الحمل مش ثابت.,نساء وتوليد
الجنين واقف في وضع غلط.,نساء وتوليد
حصللي ولادة مبكرة.,نساء وتوليد
المية نزلت قبل ميعاد الولادة.,نساء وتوليد
المية لونها أصفر.,نساء وتوليد
المية نزلت ومعاها دم.,نساء وتوليد
الجنين وزنه قليل في السونار.,نساء وتوليد
حركة الجنين قلت فجأة.,نساء وتوليد
الدكتور قال إن عندي عنق رحم قصير.,نساء وتوليد
حصللي تسمم حمل.,نساء وتوليد
الضغط بيعلى مع الحمل.,نساء وتوليد
السكر بيعلى في الحمل.,نساء وتوليد
عندي تورم في الرجلين آخر الحمل.,نساء وتوليد
رجلي بتورم جامد مع الحمل.,نساء وتوليد
وشي بينتفخ في الحمل.,نساء وتوليد
بحس بنغز في المبيض.,نساء وتوليد
عندي ورم في قناة فالوب.,نساء وتوليد
عندي انسداد في القناتين.,نساء وتوليد
حصللي التصاقات بعد العملية.,نساء وتوليد
الرحم لزق في جدار البطن بعد القيصرية.,نساء وتوليد
عندي ألم في الحوض مش بيروح.,نساء وتوليد
الألم بيزيد وقت العلاقة.,نساء وتوليد
الألم بيروح للظهر.,نساء وتوليد
عندي بطانة مهاجرة.,نساء وتوليد
عندي كيس دموي في المبيض.,نساء وتوليد
عندي أورام ليفية كتير.,نساء وتوليد
حصللي إجهاض بسبب تجلط الدم.,نساء وتوليد
حصللي تسمم حمل في ولادة قبل كده.,نساء وتوليد
السكر عندي مش مظبوط في الحمل.,نساء وتوليد
حصللي نزيف شديد بعد الولادة.,نساء وتوليد
النزيف طول أسابيع بعد الولادة.,نساء وتوليد
حصللي تمزق أثناء الولادة.,نساء وتوليد
حصللي خياطة سيئة بعد الولادة.,نساء وتوليد
الخياطة اتفتحت.,نساء وتوليد
في بقايا مشيمة في الرحم.,نساء وتوليد
اللبن مجاش بعد الولادة.,نساء وتوليد
اللبن قل فجأة.,نساء وتوليد
اللبن لونه متغير.,نساء وتوليد
اللبن فيه ريحة وحشة.,نساء وتوليد
الحلمة ورمت جامد.,نساء وتوليد
في خراج في الثدي.,نساء وتوليد
عندي التهاب في القنوات اللبنية.,نساء وتوليد
عندي كتلة كبيرة في الثدي.,نساء وتوليد
الثدي سخن جدًا.,نساء وتوليد
كل مرة أرضع بيجيلي ألم فظيع.,نساء وتوليد
اللبن بينزل من صدر واحد.,نساء وتوليد
اللبن لونه مصفر.,نساء وتوليد
عندي وجع في الثدي بعد الفطام.,نساء وتوليد
عندي إفراز دموي من الحلمة.,نساء وتوليد
في ورم تحت الإبط.,نساء وتوليد
الجلد حوالين الثدي مشدود.,نساء وتوليد
شكل الحلمة اتغير فجأة.,نساء وتوليد
الجلد في الثدي بيقشر.,نساء وتوليد
في بقعة حمراء على الثدي.,نساء وتوليد
بحس إن الثدي بيولع.,نساء وتوليد
عندي خراج في الثدي.,نساء وتوليد
اللبن بينزل لوحده وأنا نايمة.,نساء وتوليد
الحلمة بتنزف لو اتخبطت.,نساء وتوليد
اللبن ريحته وحشة جدًا.,نساء وتوليد
اللبن نزل لونه غامق.,نساء وتوليد
اللبن اتجلط في القنوات.,نساء وتوليد
في تورم تحت الحلمة.,نساء وتوليد
في التهابات شديدة حوالين الحلمة.,نساء وتوليد
بحس بلسعة في الحلمة.,نساء وتوليد
اللبن مش بينزل رغم كل المحاولات.,نساء وتوليد
بحس بضعف في عضلات القدم مع تنميل,الأعصاب
بقوم من النوم وأنا مش قادر أتحرك.,الأعصاب
بيجيلي نوبة هلع وقلبي يجري.,الأعصاب
إيدي بترتعش.,الأعصاب
بنسى أنا كنت بقول إيه وأنا بتكلم.,الأعصاب
لما بمشي كتير، رجلي بتتخدر.,الأعصاب
لما بمشي في الشمس بحس بتنميل في دماغي.,الأعصاب
رجلي بتشد عليا بعد المجهود.,الأعصاب
فكي ناشف ومش بيتحرك بسهولة.,الأعصاب
عندي رعشة في رجلي.,الأعصاب
ساعات بقع فجأة.,الأعصاب
بحس بصداع لما بحرك عيني.,الأعصاب
ساعات بحس بدوخة مع رعشة خفيفة.,الأعصاب
حاسس إني مش قادر أركز خالص.,الأعصاب
بعاني من فقدان التوازن عند المشي في الظلام,الأعصاب
بنام شوية وأقوم مش عارف أنا فين.,الأعصاب
بعاني من تغيرات في الإحساس على جانبي الجسم,الأعصاب
وأنا بقرا بحس الكلام بيتلخبط قدامي.,الأعصاب
بعاني من صعوبة في البلع,الأعصاب
بعاني من صداع خلف العين مع حساسية للصوت,الأعصاب
صعوبة في التركيز والانتباه,الأعصاب
ابني بيجيله تشنجات.,الأعصاب
بحس بحرقان في دماغي.,الأعصاب
لما بتوتر بحس إني هقع.,الأعصاب
بعاني من اضطرابات في حركة العينين,الأعصاب
بفقد التوازن وأنا بطلع السلم.,الأعصاب
بشعر بضعف في عضلات الوجه مع اضطراب في الإحساس,الأعصاب
بحس ببرودة غير طبيعية في الأطراف,الأعصاب
بعاني من اضطراب في توازن العين مع صداع,الأعصاب
بحس بوجع في الرقبة يصاحبه دوخة خفيفة,الأعصاب
بعاني من تنميل وخدر في الذراعين والساقين,الأعصاب
بسرح وبنسى أنا فين.,الأعصاب
بشعر بتشنج عضلي مفاجئ في الساعد,الأعصاب
بعاني من صعوبة في البلع مع ألم في الحلق,الأعصاب
بعاني من دوخة عند الوقوف بسرعة,الأعصاب
بكعبل كتير وأنا ماشي.,الأعصاب
بعاني من فقدان جزئي للحواس في الأصابع,الأعصاب
بحس بدوخة لما بقوم فجأة.,الأعصاب
بحس بتنميل وحرقان في الذراع الأيمن,الأعصاب
بصعوبة في التنفس مع اضطراب في نبض القلب,الأعصاب
عندي وجع دايم في ناحية واحدة من دماغي.,الأعصاب
صعوبة في نطق الكلمات أحيانًا,الأعصاب
بحس بتنميل في الأصابع مع ضعف العضلات,الأعصاب
بحس بتيبس في عضلات الرقبة والصدر,الأعصاب
عندي صوت طقة في ودني بيخليني أتخض.,الأعصاب
بعاني من اضطراب في النوم مع أحلام مزعجة,الأعصاب
عندي وجع مستمر في مؤخرة راسي.,الأعصاب
بحس بضعف في عضلات الحلق مع صعوبة في التنفس,الأعصاب
عندي كهرباء زيادة في المخ (زي التشنجات).,الأعصاب
حاسس إني بنسى حاجات كتير.,الأعصاب
نفسي أتكلم بس لساني مش مساعدني.,الأعصاب
ابني لسه مبيتكلمش، بيقولوا عنده تأخر في النمو.,الأعصاب
كل شوية أحس إن رجلي بتترعش.,الأعصاب
عيني بتزغلل فجأة وبتروح.,الأعصاب
بصعوبة في التحكم في حركة العين اليسرى,الأعصاب
بشعر بتنميل وحرقان في الظهر السفلي,الأعصاب
بعاني من صعوبة في النطق مع فقدان الذاكرة,الأعصاب
بنسى أسماء الناس بسرعة.,الأعصاب
بعاني من رعشة في اليد اليمنى مع ضعف في العضلات,الأعصاب
بعاني من رعشة في اليد اليسرى فقط,الأعصاب
ودني بتوجعني ومصحوبة بدوخة.,الأعصاب
عندي دوخة مزمنة ومش عارف ليه.,الأعصاب
بحس بارتعاش غير منتظم في الرجل اليمنى,الأعصاب
بشعر بصداع مفاجئ مع غثيان وقيء,الأعصاب
بحس بصداع نابض مع حساسية للضوء والصوت,الأعصاب
ودني بترن كل يوم الصبح.,الأعصاب
بحس بألم يشبه الكهرباء في الرقبة,الأعصاب
لساني ساعات بيتلوي ومبعرفش أتكلم.,الأعصاب
اضطرابات في النوم مع حركات لا إرادية,الأعصاب
كل ما أزعق أحس بدوخة.,الأعصاب
مش قادر أمسك القلم زي الأول.,الأعصاب
بحس بألم شديد في الرقبة مع فقدان توازن,الأعصاب
لما بحرك رقبتي، بسمع صوت غريب في دماغي.,الأعصاب
كل ما اتوتر بحس رجلي بتخوني.,الأعصاب
بعاني من دوار مع اضطرابات في التوازن أثناء المشي,الأعصاب
بشعر بألم حارق في القدمين,الأعصاب
بكلم الناس وبحس صوتي مش طالع.,الأعصاب
بعاني من عدم توازن أثناء الوقوف,الأعصاب
بحس بارتعاش خفيف في الأصابع مع تنميل,الأعصاب
بصعوبة في التركيز لفترات طويلة,الأعصاب
ضعف مؤقت في الرؤية,الأعصاب
تشنجات عضلية متكررة بدون تشخيص مرضي,الأعصاب
بعاني من عدم وضوح النطق مع صعوبة في البلع,الأعصاب
مش بحس برجلي لما بصحى.,الأعصاب
مش حاسس بأطراف صوابعي.,الأعصاب
بحس برعشة لا إرادية في الصوت,الأعصاب
بعاني من صداع خلف الرأس مع غثيان ودوار,الأعصاب
تغير في قوة القبضة اليدوية,الأعصاب
بعاني من ضعف في تحريك الأصابع,الأعصاب
ببقى مش مركز خالص في الشغل.,الأعصاب
بعاني من اضطرابات في الذاكرة القصيرة الأمد,الأعصاب
وأنا في الزحمة بحس إن الدنيا بتلف بيا.,الأعصاب
بصعوبة في تحريك الرأس مع ألم في الرقبة,الأعصاب
بصعوبة في التحكم في البول,الأعصاب
عندي صعوبة في المشي والتوازن.,الأعصاب
حاسس إني مش قادر أبلع.,الأعصاب
بحس بألم مفاجئ في الذراع مع خدر في اليد,الأعصاب
بحس لساني تقيل بعد ما آكل.,الأعصاب
بكلم الناس وأنسى أنا بقول إيه.,الأعصاب
بعاني من اضطرابات في السمع مع دوار,الأعصاب
تنميل غير مفسر في أحد جانبي الجسم,الأعصاب
بحس بثقل في الرأس مع شعور بالدوار المستمر,الأعصاب
عندي شد في عضلات وشي.,الأعصاب
النور العالي بيخليني أصدع.,الأعصاب
وأنا سايق بحس بدوخة فجأة.,الأعصاب
بصعوبة في التحكم في حركة اللسان,الأعصاب
حاسس إن راسي تقيلة والدنيا بتمشي ببطء.,الأعصاب
لما حد بينادي عليا، بحس بتقل في ودني.,الأعصاب
عندي وجع في رقبتي بيوصل لراسي.,الأعصاب
حاسس بخدر في نص جسمي.,الأعصاب
إحساس بالدوار مع تغيرات في التوازن,الأعصاب
بحس بضعف عام في عضلات الرقبة والكتف,الأعصاب
عيني بتدمع من غير سبب.,الأعصاب
ساعات بحس لساني تقيل وأنا بتكلم.,الأعصاب
مش سامع كويس وراسي تقيلة.,الأعصاب
نفسيتي بتتعب لما الصداع يزيد.,الأعصاب
بحس كأني في حلم مش حقيقي.,الأعصاب
بحس بألم في الرقبة مع صعوبة في تحريك الرأس,الأعصاب
بحس بثقل في الرقبة وألم يمتد للرأس,الأعصاب
بحس بطنين مستمر في الأذنين,الأعصاب
تغير في ردود الأفعال العصبية,الأعصاب
بحس بثقل في الرأس مع اضطراب في الذاكرة,الأعصاب
بشوف فلاشات نور في عيني.,الأعصاب
بعاني من ضعف في التوازن مع ميل للسقوط,الأعصاب
بعاني من فقدان مؤقت للرؤية في عين واحدة,الأعصاب
رجلي اليمين بتترعش أكتر من الشمال.,الأعصاب
حاسس إني هقع وأنا واقف.,الأعصاب
كل لما أركب ميكروباص بحس بدوخة.,الأعصاب
وأنا بتكلم بحس بدوخة مفاجئة.,الأعصاب
بحس بصداع نابض في مؤخرة الرأس,الأعصاب
مش بعرف أكتب زي زمان.,الأعصاب
بعاني من تقلصات عضلية لا إرادية في الساقين,الأعصاب
بصعوبة في الكتابة بسبب ضعف اليد,الأعصاب
أوقات بحس إني مش في الدنيا.,الأعصاب
بحس بألم مفاجئ في العين مع ضعف الرؤية,الأعصاب
ابني بيرتعش لما بيتعصب.,الأعصاب
بنام على مخدة عالية بحس بدوخة.,الأعصاب
بعاني من ضعف العضلات مع فقدان الوزن السريع,الأعصاب
عندي كهربا في جسمي كله.,الأعصاب
تغير في حاسة التذوق أو الشم,الأعصاب
بصعوبة في التركيز مع نوبات دوار مفاجئة,الأعصاب
ساعات رجلي بتتشد فجأة.,الأعصاب
وأنا بقعد على الأرض رجلي بتنام.,الأعصاب
كل ما أزعل بحس بألم في دماغي.,الأعصاب
بيجيلي صداع نصفي كل شوية.,الأعصاب
بشعر بصداع يزداد مع الضوء العالي,الأعصاب
بحس بضغط في الرأس مع اضطرابات في الرؤية,الأعصاب
بحس بثقل في الرأس مع شعور بالغثيان,الأعصاب
ودني الشمال مش بسمع بيها كويس.,الأعصاب
تعب عام مع ضعف في العضلات دون تشخيص واضح,الأعصاب
في ضغط جامد على عنيا ومش قادر أفتحهم.,الأعصاب
بعاني من اضطراب في التنفس مع دوخة,الأعصاب
بعاني من صداع مستمر مع شعور بالإرهاق,الأعصاب
بشعر بضعف في عضلات الفك السفلي,الأعصاب
بعاني من ضعف في العضلات مع تشنجات متكررة,الأعصاب
بعاني من خدر في أصابع القدمين مع ألم حاد,الأعصاب
دوخة عند الوقوف المفاجئ,الأعصاب
بصعوبة في تكوين الكلمات أثناء الكلام,الأعصاب
عندي صداع جامد ومش بيروح.,الأعصاب
الصداع بيبدأ من رقبتي ويطلع لراسي.,الأعصاب
إيدي بتنام وبعدين تفوق تاني.,الأعصاب
حاسس بتنميل في وشي.,الأعصاب
خدر حول الفم واليدين,الأعصاب
سامع طنين في ودني وبحس بدوخة.,الأعصاب
بحس بدوخة وقلبي بيدق بسرعة.,الأعصاب
مش شايف كويس بعين واحدة.,الأعصاب
بشوف الدنيا مش واضحة وبدوخ، خصوصًا الصبح.,الأعصاب
سامع صفارة في ودني وبحس بدوخة.,الأعصاب
بعاني من ضعف في القبضة اليدوية,الأعصاب
حاسس بزنه أو دوشة في دماغي.,الأعصاب
بنام كتير وبرضه حاسس إني مرهق.,الأعصاب
بعاني من رعشة في اليد عند محاولة الكتابة,الأعصاب
بعاني من صداع مزمن مع اضطرابات في النوم,الأعصاب
بحس بتشنجات عضلية متكررة في الذراعين,الأعصاب
بشعر بخدر في نصف الوجه,الأعصاب
بحس بارتعاش في عضلات الوجه أثناء الكلام,الأعصاب
بصعوبة في المشي على الأسطح غير المستوية,الأعصاب
بعاني من ضعف مفاجئ في اليد اليمنى,الأعصاب
بعاني من ضعف العضلات بعد فترة من التعب,الأعصاب
بحس بتنميل مستمر في طرف واحد من جسمي,الأعصاب
رجلي بتتهز لوحدها وأنا نايم.,الأعصاب
حركتي بقت أبطأ من زمان.,الأعصاب
لما بنام على جنبي الشمال بحس بتنميل.,الأعصاب
بشعر بألم مزمن في منطقة أسفل الظهر والرقبة,الأعصاب
دماغي بتزن من ورا كأنها بتغلي.,الأعصاب
رعشة خفيفة في اليدين,الأعصاب
بفقد الإحساس في دراعي فجأة.,الأعصاب
وأنا باكل بحس بتنميل في دماغي.,الأعصاب
تنميل في الأطراف دون فقدان حركة,الأعصاب
بشعر بوخز مستمر في أطراف أصابع اليد,الأعصاب
صداع مستمر بدون سبب واضح,الأعصاب
أوقات بحس كأن قلبي بيوقف لحظة.,الأعصاب
بصحى من النوم وألاقي إيدي مش بتتحرك.,الأعصاب
صوابعي مش بحس بيهم كويس.,الأعصاب
بعاني من اضطراب في الإحساس بالحرارة والبرودة,الأعصاب
كل لما أجري بحس برعشة في جسمي.,الأعصاب
نظري بيضعف فجأة وبيرجع تاني.,الأعصاب
بصعوبة في النطق والتلعثم,الأعصاب
بشعر بضعف في عضلات الفم مع اضطراب في الكلام,الأعصاب
كل لما أشرب حاجة ساقعة بدوّخ.,الأعصاب
رجلي بتوجعني لما أطلع سلم ومش عارف أعمل إيه,عظام
عندي ألم في الفقرات بترجع تاني بعد ما تخف,عظام
ضهري بيوجعني لما أقعد كتير ومش عارف أعمل إيه,عظام
ضهري بيوجعني لما أقعد كتير ومش عارف أعمل إيه,عظام
مش قادر أرفع دراعي لفوق,عظام
عندي ألم في الفقرات بترجع تاني بعد ما تخف,عظام
مش قادر أرفع دراعي لفوق ومش عارف أعمل إيه,عظام
مش قادر أرفع دراعي لفوق بترجع تاني بعد ما تخف,عظام
رجلي بتوجعني لما أطلع سلم بقالها فترة طويلة,عظام
عندي ألم في الفقرات ومش عارف أعمل إيه,عظام
ضهري بيوجعني لما أقعد كتير بقالها فترة طويلة,عظام
ضهري بيوجعني لما أقعد كتير بقالها فترة طويلة,عظام
مش قادر أرفع دراعي لفوق بقالها فترة طويلة,عظام
الركبة بتوجعني أول ما أصحى من النوم بقالها فترة طويلة,عظام
ضهري بيوجعني لما أقعد كتير,عظام
الركبة بتوجعني أول ما أصحى من النوم بقالها فترة طويلة,عظام
ضهري بيوجعني لما أقعد كتير بقالها فترة طويلة,عظام
مش قادر أرفع دراعي لفوق بترجع تاني بعد ما تخف,عظام
عندي ألم في الفقرات بترجع تاني بعد ما تخف,عظام
عندي ألم في الفقرات بقالها فترة طويلة,عظام
عندي ألم في الفقرات ومش عارف أعمل إيه,عظام
الركبة بتوجعني أول ما أصحى من النوم جدًا,عظام
الركبة بتوجعني أول ما أصحى من النوم,عظام
ضهري بيوجعني لما أقعد كتير بقالها فترة طويلة,عظام
الركبة بتوجعني أول ما أصحى من النوم جدًا,عظام
الركبة بتوجعني أول ما أصحى من النوم بترجع تاني بعد ما تخف,عظام
مش قادر أرفع دراعي لفوق بقالها فترة طويلة,عظام
مش قادر أرفع دراعي لفوق جدًا,عظام
مش قادر أرفع دراعي لفوق جدًا,عظام
عندي ألم في الفقرات بترجع تاني بعد ما تخف,عظام
ضهري بيوجعني لما أقعد كتير ومش عارف أعمل إيه,عظام
الركبة بتوجعني أول ما أصحى من النوم بقالها فترة طويلة,عظام
مش قادر أرفع دراعي لفوق,عظام
رجلي بتوجعني لما أطلع سلم جدًا,عظام
ضهري بيوجعني لما أقعد كتير بترجع تاني بعد ما تخف,عظام
مش قادر أرفع دراعي لفوق,عظام
مش قادر أرفع دراعي لفوق,عظام
ضهري بيوجعني لما أقعد كتير بقالها فترة طويلة,عظام
الركبة بتوجعني أول ما أصحى من النوم جدًا,عظام
ضهري بيوجعني لما أقعد كتير ومش عارف أعمل إيه,عظام
عندي ألم في الفقرات ومش عارف أعمل إيه,عظام
عندي ألم في الفقرات بترجع تاني بعد ما تخف,عظام
مش قادر أرفع دراعي لفوق جدًا,عظام
ضهري بيوجعني لما أقعد كتير بقالها فترة طويلة,عظام
عندي ألم في الفقرات,عظام
الركبة بتوجعني أول ما أصحى من النوم بترجع تاني بعد ما تخف,عظام
الركبة بتوجعني أول ما أصحى من النوم جدًا,عظام
مش قادر أرفع دراعي لفوق جدًا,عظام
رجلي بتوجعني لما أطلع سلم بترجع تاني بعد ما تخف,عظام
عندي ألم في الفقرات,عظام
ضهري بيوجعني لما أقعد كتير بترجع تاني بعد ما تخف,عظام
رجلي بتوجعني لما أطلع سلم ومش عارف أعمل إيه,عظام
ضهري بيوجعني لما أقعد كتير,عظام
رجلي بتوجعني لما أطلع سلم بقالها فترة طويلة,عظام
رجلي بتوجعني لما أطلع سلم,عظام
ضهري بيوجعني لما أقعد كتير,عظام
مش قادر أرفع دراعي لفوق جدًا,عظام
